In-degree,Out-degree,Weight
1,1,423
0,1,2502
1,0,2990
0,5,50
3,0,283
10,0,6
1,3,70
2,0,756
9,0,12
8,0,18
0,3,375
4,0,124
0,2,1021
1,2,241
6,0,41
0,6,31
4,2,3
5,0,63
16,6,1
2,1,28
2,2,9
0,4,141
7,0,23
15,0,1
3,1,5
0,12,1
11,0,6
1,4,26
3,3,1
5,5,1
13,0,3
10,2,1
5,1,2
0,7,10
6,1,1
3,2,3
2,3,5
4,1,1
16,0,2
0,8,5
1,5,9
2,6,1
12,0,6
14,0,4
4,5,1
0,9,1
2,4,5
0,13,1
10,1,1
1,6,2
13,1,1
5,2,1
18,0,1
26,0,1
7,2,1
1,8,1
5,3,1
22,0,1
7,1,1
